1,,
 , ,
 ,,
 ,1,1927
 ,2,4253
 ,3,145
 ,4,0
 ,5,0
 ,6,45
 ,7,1095
 ,8,166
 ,9,929
 ,10,2
 , ,
 ,,
 ,1,2082
 ,2,4147
 ,3,358
 ,4,0
 ,5,60
 ,6,0
 ,7,879
 ,8,3
 ,9,876
 ,10,2
 , ,
 ,,
 ,1,2707
 ,2,3524
 ,3,330
 ,4,0
 ,5,35
 ,6,0
 ,7,460
 ,8,62
 ,9,398
 ,10,2
 , ,
 ,,
 ,1,3171
 ,2,3179
 ,3,393
 ,4,0
 ,5,36
 ,6,32
 ,7,849
 ,8,193
 ,9,656
 ,10,2
 , ,
 ,,
 ,1,3656
 ,2,2691
 ,3,340
 ,4,0
 ,5,20
 ,6,0
 ,7,566
 ,8,33
 ,9,533
 ,10,2
 , ,
 ,,
 ,1,4204
 ,2,2194
 ,3,356
 ,4,0
 ,5,2
 ,6,0
 ,7,426
 ,8,0
 ,9,426
 ,10,1
 , ,
 ,,
 ,1,4613
 ,2,1771
 ,3,349
 ,4,0
 ,5,5
 ,6,0
 ,7,448
 ,8,0
 ,9,448
 ,10,1
 , ,
 ,,
 ,1,5124
 ,2,1333
 ,3,425
 ,4,0
 ,5,3
 ,6,30
 ,7,6047
 ,8,5465
 ,9,582
 ,10,2
 , ,
 ,,
 ,1,5584
 ,2,789
 ,3,214
 ,4,0
 ,5,141
 ,6,67
 ,7,6479
 ,8,5926
 ,9,553
 ,10,2
 , ,
 ,,
 ,1,5869
 ,2,635
 ,3,320
 ,4,0
 ,5,31
 ,6,276
 ,7,6411
 ,8,6037
 ,9,374
 ,10,2
 , ,
 ,,
 ,1,5926
 ,2,576
 ,3,209
 ,4,0
 ,5,97
 ,6,923
 ,7,6693
 ,8,6118
 ,9,575
 ,10,2
 , ,
 ,,
 ,1,5075
 ,2,1540
 ,3,234
 ,4,0
 ,5,128
 ,6,136
 ,7,1638
 ,8,1115
 ,9,523
 ,10,2
 , ,
 ,,
 ,1,5307
 ,2,1433
 ,3,301
 ,4,0
 ,5,50
 ,6,66
 ,7,482
 ,8,99
 ,9,383
 ,10,2
 , ,
 ,,
 ,1,5676
 ,2,1194
 ,3,340
 ,4,0
 ,5,88
 ,6,501
 ,7,1518
 ,8,991
 ,9,527
 ,10,2
 , ,
 ,,
 ,1,5601
 ,2,1348
 ,3,290
 ,4,0
 ,5,67
 ,6,621
 ,7,1865
 ,8,1112
 ,9,753
 ,10,2
 , ,
 ,,
 ,1,5369
 ,2,1676
 ,3,189
 ,4,0
 ,5,162
 ,6,48
 ,7,797
 ,8,77
 ,9,720
 ,10,2
 , ,
 ,,
 ,1,5547
 ,2,1558
 ,3,423
 ,4,0
 ,5,5
 ,6,0
 ,7,474
 ,8,0
 ,9,474
 ,10,1
 , ,
 ,,
 ,1,5922
 ,2,1138
 ,3,355
 ,4,0
 ,5,0
 ,6,163
 ,7,546
 ,8,191
 ,9,355
 ,10,2
 , ,
 ,,
 ,1,6128
 ,2,9464
 ,5,3
 ,6,1107
 ,7,1697
 ,8,1502
 ,9,195
 ,10,2
 , ,
 ,,
 ,1,6259
 ,2,1123
 ,3,105
 ,4,0
 ,5,76
