1,410
2,1136
3,0
4,0
5,0
6,0
7,45
8,45
9,0
10,1
1,432
2,1098
3,0
4,0
5,0
6,0
7,46
8,46
9,0
10,1
1,1388
2,1273
3,0
4,0
5,0
6,2
7,145
8,145
9,0
10,1
1,3158
2,2178
3,0
4,0
5,0
6,0
7,342
8,342
9,0
10,1
1,3158
2,2178
3,0
4,0
5,0
6,22
7,321
8,321
9,0
10,1
1,3136
2,2200
3,0
4,0
5,0
6,184
7,333
8,333
9,0
10,1
1,2999
2,2428
3,0
4,0
5,0
6,53
7,304
8,304
9,0
10,1
1,3005
2,2577
3,365
4,0
5,0
6,0
7,827
8,4
9,823
10,2
1,3237
2,2045
3,0
4,0
5,0
6,85
7,343
8,343
9,0
10,1
1,3152
2,2130
3,0
4,0
5,0
6,153
7,320
8,320
9,0
10,1
1,3001
2,2283
3,0
4,0
5,0
6,92
7,301
8,301
9,0
10,1
1,2986
2,2376
3,0
4,0
5,0
6,0
7,59
8,59
9,0
10,1
1,2910
2,2376
3,0
4,0
5,0
6,123
7,293
8,293
9,0
10,1
1,2787
2,2499
3,0
4,0
5,0
6,76
7,291
8,291
9,0
10,1
1,2711
2,2575
3,0
4,0
5,0
6,87
7,272
8,272
9,0
10,1
1,2624
2,2662
3,0
4,0
5,0
6,125
7,269
8,269
9,0
10,1
1,2499
2,2787
3,0
4,0
5,0
6,60
7,251
8,251
9,0
10,1
1,2439
2,2847
3,0
4,0
5,0
6,84
7,244
8,244
9,0
10,1
1,2355
2,2931
3,0
4,0
5,0
6,107
7,241
8,241
9,0
10,1
1,2249
2,3038
3,0
4,0
5,0
6,48
7,230
8,230
9,0
10,1
1,2361
2,3354
3,376
4,0
5,0
6,0
7,1786
8,82
9,1704
10,2
1,2671
2,2731
3,354
4,0
5,0
6,12
7,443
8,22
9,421
10,2
1,2746
2,2403
3,323
4,0
5,29
6,4
7,486
8,30
9,456
10,2
1,2838
2,2072
3,356
4,0
5,4
6,18
7,424
8,38
9,386
10,2
1,2872
2,1815
3,345
4,0
5,8
6,38
7,522
8,45
9,477
10,2
1,3022
2,1551
3,259
4,0
5,94
6,53
7,729
8,152
9,577
10,2
1,3030
2,1404
3,332
4,0
5,22
6,0
7,436
8,51
9,385
10,2
1,3202
2,1551
3,371
4,0
5,0
6,20
7,623
8,58
9,565
10,2
1,3506
2,1243
3,327
4,0
5,40
6,7
7,662
8,28
9,634
10,2
1,3833
2,1447
3,0
4,0
5,0
6,11
7,45
8,45
9,0
10,1
1,3873
2,1704
3,341
4,0
5,10
6,18
7,421
8,23
9,398
10,2
1,3942
2,1606
3,376
4,0
5,15
6,0
7,543
8,17
9,526
10,2
1,4098
2,1289
3,354
4,0
5,5
6,17
7,4714
8,4228
9,486
10,2
1,4235
2,934
3,346
4,0
5,15
6,2
7,4625
8,4249
9,376
10,2
1,4289
2,735
3,358
4,0
5,24
6,523
7,4872
8,4313
9,559
10,2
1,3863
2,1207
3,292
4,0
5,66
6,0
7,568
8,29
9,539
10,2
1,4463
2,962
3,288
4,0
5,65
6,454
7,1913
8,1393
9,520
10,2
1,4143
2,1209
3,385
4,0
5,0
6,17
7,429
8,34
9,395
10,2
1,4240
2,968
3,0
4,0
5,0
6,311
7,428
8,428
9,0
10,1
1,3929
2,1279
3,0
4,0
5,0
6,222
7,409
8,409
9,0
10,1
1,3707
2,1501
3,365
4,0
5,0
6,10
7,826
8,157
9,669
10,2
1,3736
2,1124
3,0
4,0
5,0
6,136
7,374
8,374
9,0
10,1
1,3602
2,1268
3,0
4,0
5,0
6,116
7,361
8,361
9,0
10,1
1,3486
2,1384
3,0
4,0
5,0
6,179
7,349
8,349
9,0
10,1
1,3307
2,1563
3,0
4,0
5,0
6,159
7,332
8,332
9,0
10,1
1,3148
2,1722
3,0
4,0
5,0
6,144
7,327
8,327
9,0
10,1
1,3004
2,1866
3,0
4,0
5,0
6,138
7,307
8,307
9,0
10,1
1,2866
2,2004
3,0
4,0
5,0
6,88
7,304
8,304
9,0
10,1
1,2778
2,2092
3,0
4,0
5,0
6,73
7,277
8,277
9,0
10,1
1,2705
2,2165
3,0
4,0
5,0
6,119
7,280
8,280
9,0
10,1
1,2586
2,2284
3,0
4,0
5,0
6,149
7,265
8,265
9,0
10,1
1,2437
2,2433
3,0
4,0
5,0
6,85
7,250
8,250
9,0
10,1
1,2352
2,2518
3,0
4,0
5,0
6,75
7,236
8,236
9,0
10,1
1,2277
2,2593
3,0
4,0
5,0
6,74
7,234
8,234
9,0
10,1
1,2291
2,2711
3,0
4,0
5,0
6,82
7,228
8,228
9,0
10,1
1,2108
2,2794
3,0
4,0
5,0
6,70
7,211
8,211
9,0
10,1
1,2038
2,2864
3,0
4,0
5,0
6,65
7,209
8,209
9,0
10,1
1,1973
2,2929
3,0
4,0
5,0
6,68
7,201
8,201
9,0
10,1
1,1905
2,2997
3,0
4,0
5,0
6,57
7,202
8,202
9,0
1,1848
2,3054
3,0
4,0
5,0
6,69
7,195
8,195
9,0
10,1
1,1779
2,3123
3,0
4,0
5,0
6,50
7,181
8,181
9,0
10,1
1,1729
2,3173
3,0
4,0
5,0
6,55
7,176
8,176
9,0
10,1
1,1674
2,3228
3,0
4,0
5,0
6,44
7,171
8,171
9,0
10,1
1,1630
2,3272
3,0
4,0
5,0
6,50
7,167
8,167
9,0
10,1
1,1580
2,3322
3,0
4,0
5,0
6,41
7,163
8,163
9,0
10,1
1,1539
2,3363
3,0
4,0
5,0
6,46
7,156
8,156
9,0
10,1
1,1493
2,3409
3,0
4,0
5,0
6,26
7,158
8,158
9,0
10,1
1,1467
2,3435
3,0
4,0
5,0
6,44
7,153
8,153
9,0
10,1
1,1423
2,3479
3,0
4,0
5,0
6,27
7,142
8,142
9,0
10,1
1,1396
2,3506
3,0
4,0
5,0
6,26
7,142
8,142
9,0
10,1
1,1374
2,3552
3,0
4,0
5,0
6,38
7,139
8,139
9,0
10,1
