1,,
 , ,
 ,,
 ,1,3453
 ,2,2568
 ,3,0
 ,4,0
 ,5,0
 ,6,0
 ,7,351
 ,8,351
 ,9,0
 ,10,1
 , ,
 ,,
 ,1,3624
 ,2,2584
 ,3,365
 ,4,0
 ,5,0
 ,6,0
 ,7,739
 ,8,63
 ,9,676
 ,10,2
 , ,
 ,,
 ,1,4091
 ,2,2053
 ,3,378
 ,4,0
 ,5,5
 ,6,0
 ,7,483
 ,8,2
 ,9,481
 ,10,2
 , ,
 ,,
 ,1,4521
 ,2,1588
 ,3,347
 ,4,0
 ,5,4
 ,6,0
 ,7,427
 ,8,0
 ,9,427
 ,10,1
 , ,
 ,,
 ,1,4955
 ,2,1170
 ,3,363
 ,4,0
 ,5,9
 ,6,655
 ,7,3954
 ,8,3356
 ,9,598
 ,10,2
 , ,
 ,,
 ,1,4937
 ,2,1250
 ,3,284
 ,4,0
 ,5,67
 ,6,794
 ,7,4254
 ,8,3404
 ,9,850
 ,10,2
 , ,
 ,,
 ,1,4896
 ,2,1445
 ,3,331
 ,4,0
 ,5,20
 ,6,278
 ,7,5822
 ,8,5298
 ,9,524
 ,10,2
 , ,
 ,,
 ,1,5032
 ,2,1387
 ,3,381
 ,4,0
 ,5,57
 ,6,1
 ,7,6216
 ,8,5403
 ,9,813
 ,10,2
 , ,
 ,,
 ,1,5421
 ,2,1000
 ,3,356
 ,4,0
 ,5,0
 ,6,2
 ,7,5883
 ,8,5527
 ,9,356
 ,10,2
 , ,
 ,,
 ,1,5851
 ,2,646
 ,3,216
 ,4,0
 ,5,164
 ,6,93
 ,7,6739
 ,8,6093
 ,9,646
 ,10,2
 , ,
 ,,
 ,1,5977
 ,2,560
 ,3,0
 ,4,0
 ,5,0
 ,6,461
 ,7,5977
 ,8,5977
 ,9,0
 ,10,1
 , ,
 ,,
 ,1,5577
 ,2,1046
 ,3,428
 ,4,0
 ,5,0
 ,6,317
 ,7,890
 ,8,347
 ,9,543
 ,10,2
 , ,
 ,,
 ,1,5576
 ,2,1009
 ,3,92
 ,4,0
 ,5,262
 ,6,607
 ,7,6205
 ,8,5595
 ,9,610
 ,10,2
 , ,
 ,,
 ,1,5191
 ,2,1513
 ,3,351
 ,4,0
 ,5,0
 ,6,26
 ,7,437
 ,8,86
 ,9,351
 ,10,2
 , ,
 ,,
 ,1,5599
 ,2,1188
 ,3,258
 ,4,0
 ,5,170
 ,6,134
 ,7,6481
 ,8,5820
 ,9,661
 ,10,2
 , ,
 ,,
 ,1,5686
 ,2,1053
 ,3,390
 ,4,0
 ,5,0
 ,6,262
 ,7,4745
 ,8,4355
 ,9,390
 ,10,2
 , ,
 ,,
 ,1,5797
 ,2,928
 ,3,226
 ,4,0
 ,5,130
 ,6,778
 ,7,3452
 ,8,2851
 ,9,601
 ,10,2
 , ,
 ,,
 ,1,5344
 ,2,1474
 ,3,351
 ,4,0
 ,5,0
 ,6,31
 ,7,382
 ,8,31
 ,9,351
 ,10,2
 , ,
 ,,
 ,1,5677
 ,2,1154
 ,3,264
 ,4,0
 ,5,91
 ,6,385
 ,7,783
 ,8,392
 ,9,391
 ,10,2
 , ,
 ,,
 ,1,5711
 ,2,1269
